endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
space,4.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8377,space,0.7975,NAN,,NAN,,0,0,0,0,1,1,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_5.jpeg,did not like,3.613205605,,,,,,,,,,,
,,,,,,space,0.4176,NAN,,NAN,,0,1,1,1,1,2,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_16.jpeg,did not like,4.988446431,,,,,,,,,,,
,,,,,,space,0.2486,NAN,,NAN,,0,2,2,2,1,3,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_23.jpeg,did not like,3.470791822,,,,,,,,,,,
,,,,,,space,0.2529,NAN,,NAN,,0,3,3,3,1,4,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_20.jpeg,did not like,3.820572462,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.1666,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_8.jpeg,liked,2.455989137,,,,,,,,,,,
,,,,,,space,0.4934,NAN,,NAN,,0,5,5,5,1,6,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_25.jpeg,did not like,3.79605092,,,,,,,,,,,
,,,,,,space,0.5008,NAN,,NAN,,0,6,6,6,1,7,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_18.jpeg,liked,3.562416326,,,,,,,,,,,
,,,,,,space,0.3937,NAN,,NAN,,0,7,7,7,1,8,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,did not like,2.843822497,,,,,,,,,,,
,,,,,,space,0.1593,NAN,,NAN,,0,8,8,8,1,9,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,did not like,3.546495948,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.4558,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,did not like,1.672012706,,,,,,,,,,,
,,,,,,space,0.284,NAN,,NAN,,0,10,10,10,1,11,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_7.jpeg,did not like,4.942172136,,,,,,,,,,,
,,,,,,space,0.1614,NAN,,NAN,,0,11,11,11,1,12,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_28.jpeg,did not like,2.50187214,,,,,,,,,,,
,,,,,,space,0.0327,NAN,,NAN,,0,12,12,12,1,13,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_6.jpeg,did not like,2.071164779,,,,,,,,,,,
,,,,,,space,0.487,NAN,,NAN,,0,13,13,13,1,14,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,liked,5.336503566,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.611,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_17.jpeg,did not like,2.642157193,,,,,,,,,,,
,,,,,,space,0.4035,NAN,,NAN,,0,15,15,15,1,16,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_4.jpeg,did not like,4.456234322,,,,,,,,,,,
,,,,,,space,0.1872,NAN,,NAN,,0,16,16,16,1,17,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_12.jpeg,liked,4.438512181,,,,,,,,,,,
,,,,,,space,0.5754,NAN,,NAN,,0,17,17,17,1,18,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_9.jpeg,liked,2.682944783,,,,,,,,,,,
,,,,,,space,0.2507,NAN,,NAN,,0,18,18,18,1,19,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_19.jpeg,did not like,4.51984296,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.498,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_13.jpeg,did not like,3.195382774,,,,,,,,,,,
,,,,,,space,0.102,NAN,,NAN,,0,20,20,20,1,21,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_15.jpeg,did not like,1.779333479,,,,,,,,,,,
,,,,,,space,0.072,NAN,,NAN,,0,21,21,21,1,22,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_30.jpeg,liked,4.312468682,,,,,,,,,,,
,,,,,,space,0.211,NAN,,NAN,,0,22,22,22,1,23,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_2.jpeg,did not like,4.940433059,,,,,,,,,,,
,,,,,,space,0.3728,NAN,,NAN,,0,23,23,23,1,24,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_11.jpeg,liked,2.7105123,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.4842,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_3.jpeg,did not like,3.602308302,,,,,,,,,,,
,,,,,,space,0.1423,NAN,,NAN,,0,25,25,25,1,26,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_14.jpeg,liked,4.106391878,,,,,,,,,,,
,,,,,,space,0.5023,NAN,,NAN,,0,26,26,26,1,27,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_29.jpeg,did not like,3.799433026,,,,,,,,,,,
,,,,,,space,0.1943,NAN,,NAN,,0,27,27,27,1,28,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_10.jpeg,liked,5.246980764,,,,,,,,,,,
,,,,,,space,0.1955,NAN,,NAN,,0,28,28,28,1,29,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_21.jpeg,did not like,3.30081769,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.3209,0,0,0,0,1,,
,,,,,,,,4,,9,,0,29,29,29,1,30,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_26.jpeg,did not like,1.661473164,,,,,,,,,,,
,,,,space,0.484,space,0.0413,NAN,,NAN,,0,30,30,30,1,31,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,
,,,,,,space,0.0838,NAN,,NAN,,0,31,31,31,1,32,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_18.jpeg,liked,4.988446431,,,,,,,,,,,
,,,,,,space,0.0006,NAN,,NAN,,0,32,32,32,1,33,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_23.jpeg,liked,3.470791822,,,,,,,,,,,
,,,,,,space,0.2501,NAN,,NAN,,0,33,33,33,1,34,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_16.jpeg,liked,3.820572462,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2573,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_12.jpeg,liked,2.455989137,,,,,,,,,,,
,,,,,,space,0.4446,NAN,,NAN,,0,35,35,35,1,36,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_20.jpeg,liked,3.79605092,,,,,,,,,,,
,,,,,,space,0.2111,NAN,,NAN,,0,36,36,36,1,37,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_13.jpeg,liked,3.562416326,,,,,,,,,,,
,,,,,,space,0.3339,NAN,,NAN,,0,37,37,37,1,38,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_11.jpeg,liked,2.843822497,,,,,,,,,,,
,,,,,,space,0.4327,NAN,,NAN,,0,38,38,38,1,39,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_21.jpeg,liked,3.546495948,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0155,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_8.jpeg,liked,1.672012706,,,,,,,,,,,
,,,,,,space,0.0516,NAN,,NAN,,0,40,40,40,1,41,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,
,,,,,,space,0.0008,NAN,,NAN,,0,41,41,41,1,42,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_17.jpeg,liked,2.50187214,,,,,,,,,,,
,,,,,,space,0.1241,NAN,,NAN,,0,42,42,42,1,43,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_2.jpeg,liked,2.071164779,,,,,,,,,,,
,,,,,,space,0.0991,NAN,,NAN,,0,43,43,43,1,44,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,did not like,5.336503566,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0093,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,liked,2.642157193,,,,,,,,,,,
,,,,,,space,1.9701,NAN,,NAN,,0,45,45,45,1,46,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,did not like,4.456234322,,,,,,,,,,,
,,,,,,space,0.0161,NAN,,NAN,,0,46,46,46,1,47,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,did not like,4.438512181,,,,,,,,,,,
,,,,,,space,0.1416,NAN,,NAN,,0,47,47,47,1,48,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_4.jpeg,liked,2.682944783,,,,,,,,,,,
,,,,,,space,0.0359,NAN,,NAN,,0,48,48,48,1,49,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_7.jpeg,did not like,4.51984296,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2877,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_30.jpeg,liked,3.195382774,,,,,,,,,,,
,,,,,,space,0.511,NAN,,NAN,,0,50,50,50,1,51,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_14.jpeg,did not like,1.779333479,,,,,,,,,,,
,,,,,,space,0.2821,NAN,,NAN,,0,51,51,51,1,52,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_3.jpeg,did not like,4.312468682,,,,,,,,,,,
,,,,,,space,0.1586,NAN,,NAN,,0,52,52,52,1,53,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_25.jpeg,liked,4.940433059,,,,,,,,,,,
,,,,,,space,0.2346,NAN,,NAN,,0,53,53,53,1,54,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_26.jpeg,liked,2.7105123,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0847,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_19.jpeg,did not like,3.602308302,,,,,,,,,,,
,,,,,,space,0.1525,NAN,,NAN,,0,55,55,55,1,56,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_15.jpeg,liked,4.106391878,,,,,,,,,,,
,,,,,,space,0.5942,NAN,,NAN,,0,56,56,56,1,57,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_9.jpeg,did not like,3.799433026,,,,,,,,,,,
,,,,,,space,0.2161,NAN,,NAN,,0,57,57,57,1,58,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_29.jpeg,liked,5.246980764,,,,,,,,,,,
,,,,,,space,0.2591,NAN,,NAN,,0,58,58,58,1,59,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_28.jpeg,did not like,3.30081769,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2848,0,0,0,0,1,,
,,,,,,,,5,,9,,0,59,59,59,1,60,Charlie,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_5.jpeg,liked,1.661473164,,,,,,,,,,,
,,,,space,6.9614,space,0.3353,NAN,,NAN,,0,60,60,60,1,61,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_11.jpeg,liked,3.613205605,,,,,,,,,,,
,,,,,,space,0.0868,NAN,,NAN,,0,61,61,61,1,62,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_19.jpeg,liked,4.988446431,,,,,,,,,,,
,,,,,,space,0.2585,NAN,,NAN,,0,62,62,62,1,63,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,liked,3.470791822,,,,,,,,,,,
,,,,,,space,0.1509,NAN,,NAN,,0,63,63,63,1,64,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_29.jpeg,liked,3.820572462,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2816,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_30.jpeg,liked,2.455989137,,,,,,,,,,,
,,,,,,space,0.1371,NAN,,NAN,,0,65,65,65,1,66,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_4.jpeg,liked,3.79605092,,,,,,,,,,,
,,,,,,space,0.3006,NAN,,NAN,,0,66,66,66,1,67,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_2.jpeg,liked,3.562416326,,,,,,,,,,,
,,,,,,space,0.2337,NAN,,NAN,,0,67,67,67,1,68,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_10.jpeg,liked,2.843822497,,,,,,,,,,,
,,,,,,space,0.099,NAN,,NAN,,0,68,68,68,1,69,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_15.jpeg,liked,3.546495948,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.5381,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,did not like,1.672012706,,,,,,,,,,,
,,,,,,space,0.0008,NAN,,NAN,,0,70,70,70,1,71,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,liked,4.942172136,,,,,,,,,,,
,,,,,,space,0.0006,NAN,,NAN,,0,71,71,71,1,72,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_25.jpeg,liked,2.50187214,,,,,,,,,,,
,,,,,,space,0.1239,NAN,,NAN,,0,72,72,72,1,73,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_8.jpeg,liked,2.071164779,,,,,,,,,,,
,,,,,,space,0.0508,NAN,,NAN,,0,73,73,73,1,74,Alex,Acc,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,liked,5.336503566,,,,,,,,,,,
