PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
60fd89617258b322c92fdd03,space,5.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,4.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,1.6158,space,0.8435,NAN,,NAN,,0,0,0,0,1,1,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_10.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.4968,NAN,,NAN,,0,1,1,1,1,2,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_13.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.6013,NAN,,NAN,,0,2,2,2,1,3,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_26.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.4272,NAN,,NAN,,0,3,3,3,1,4,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_15.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.5313,space,0.8383,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_12.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.7017,NAN,,NAN,,0,5,5,5,1,6,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_7.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.557,NAN,,NAN,,0,6,6,6,1,7,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_8.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.4788,NAN,,NAN,,0,7,7,7,1,8,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_16.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.4334,NAN,,NAN,,0,8,8,8,1,9,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_23.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6768,space,1.1185,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_25.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.4665,NAN,,NAN,,0,10,10,10,1,11,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_27.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.9897,NAN,,NAN,,0,11,11,11,1,12,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_6.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.5658,NAN,,NAN,,0,12,12,12,1,13,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.5416,NAN,,NAN,,0,13,13,13,1,14,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_30.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.1331,space,0.8556,0,0,0,0,1,h,1.6962,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.9995,NAN,,NAN,,0,15,15,15,1,16,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_29.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.9303,NAN,,NAN,,0,16,16,16,1,17,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_18.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.7094,NAN,,NAN,,0,17,17,17,1,18,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_22.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.9423,NAN,,NAN,,0,18,18,18,1,19,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_3.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.4982,space,2.1677,0,0,0,0,1,h,0.6768,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_11.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.6913,NAN,,NAN,,0,20,20,20,1,21,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_9.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.603,NAN,,NAN,,0,21,21,21,1,22,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_5.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.6418,NAN,,NAN,,0,22,22,22,1,23,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_28.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.4064,NAN,,NAN,,0,23,23,23,1,24,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_4.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.546,space,1.717,0,0,0,0,1,h,1.2906,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_2.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.8759,NAN,,NAN,,0,25,25,25,1,26,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_14.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.4263,NAN,,NAN,,0,26,26,26,1,27,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_1.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.3384,NAN,,NAN,,0,27,27,27,1,28,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_17.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.4968,NAN,,NAN,,0,28,28,28,1,29,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_19.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.2408,space,0.6048,0,0,0,0,1,h,0.8529,,
,,,,,,,,,2,,6,,0,29,29,29,1,30,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_20.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.0888,space,0.4932,NAN,,NAN,,0,30,30,30,1,31,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.4659,NAN,,NAN,,0,31,31,31,1,32,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_22.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.4231,NAN,,NAN,,0,32,32,32,1,33,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_1.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.477,NAN,,NAN,,0,33,33,33,1,34,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_29.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.8896,space,1.1389,0,0,0,0,1,h,1.3138,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_5.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.3523,NAN,,NAN,,0,35,35,35,1,36,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_9.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.3847,NAN,,NAN,,0,36,36,36,1,37,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_20.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.3884,NAN,,NAN,,0,37,37,37,1,38,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_27.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.4668,NAN,,NAN,,0,38,38,38,1,39,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_30.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.9025,space,0.9749,0,0,0,0,1,h,0.6963,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_26.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.5191,NAN,,NAN,,0,40,40,40,1,41,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_15.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.4849,NAN,,NAN,,0,41,41,41,1,42,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_4.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.4967,NAN,,NAN,,0,42,42,42,1,43,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.5152,NAN,,NAN,,0,43,43,43,1,44,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_11.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.461,space,0.5697,0,0,0,0,1,h,0.967,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_3.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.5107,NAN,,NAN,,0,45,45,45,1,46,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_16.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.6202,NAN,,NAN,,0,46,46,46,1,47,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_21.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.6972,NAN,,NAN,,0,47,47,47,1,48,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_2.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.4748,NAN,,NAN,,0,48,48,48,1,49,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_18.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.1302,space,0.673,0,0,0,0,1,h,1.3206,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_13.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.607,NAN,,NAN,,0,50,50,50,1,51,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_12.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.6269,NAN,,NAN,,0,51,51,51,1,52,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_23.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.5453,NAN,,NAN,,0,52,52,52,1,53,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_10.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.6002,NAN,,NAN,,0,53,53,53,1,54,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_7.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.1595,space,0.5019,0,0,0,0,1,h,0.9701,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_14.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.9142,NAN,,NAN,,0,55,55,55,1,56,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_25.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.4523,NAN,,NAN,,0,56,56,56,1,57,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_28.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.4613,NAN,,NAN,,0,57,57,57,1,58,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_17.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.0084,NAN,,NAN,,0,58,58,58,1,59,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_19.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.3384,space,0.6653,0,0,0,0,1,h,0.6637,,
,,,,,,,,,5,,7,,0,59,59,59,1,60,Riley,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_8.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.8044,space,1.4867,NAN,,NAN,,0,60,60,60,1,61,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.7614,NAN,,NAN,,0,61,61,61,1,62,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_17.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,2.8749,NAN,,NAN,,0,62,62,62,1,63,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.8252,NAN,,NAN,,0,63,63,63,1,64,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_10.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.4939,space,2.4308,0,0,0,0,1,h,1.6856,,
,,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_27.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,2.1184,NAN,,NAN,,0,65,65,65,1,66,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_18.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.6057,NAN,,NAN,,0,66,66,66,1,67,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_5.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,2.4594,NAN,,NAN,,0,67,67,67,1,68,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_19.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.9841,NAN,,NAN,,0,68,68,68,1,69,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_28.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6458,space,3.0265,0,0,0,0,1,h,2.6863,,
,,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_12.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,1.151,NAN,,NAN,,0,70,70,70,1,71,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_22.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.226,NAN,,NAN,,0,71,71,71,1,72,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_11.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.9241,NAN,,NAN,,0,72,72,72,1,73,Charlie,Acc,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_7.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
