Prolific_ID,SCS_score,SRQ_negsocpot,SRQ_prosocint,SRQ_sexrel,SRQ_sociability
568d286ab5a2c2000cb6a91c,2.5,1,7,3,2.666666667
595727bd7c76640001aa8f6e,5.25,2.8,5.6,5.666666667,5.666666667
5a4636c92f91ec0001dcba07,4,1,6.2,4.666666667,4.666666667
5ad2c8334d061300011b1985,6.25,1.2,7,3.666666667,4.333333333
5adef850eb60400001539109,6,2.2,5.8,5,5.333333333
5aec7e89ae13140001fc0cdf,5.75,2.2,6.2,5.666666667,6.333333333
5b6c312fa1fda800015fe165,5.5,1,6.8,2.666666667,4.333333333
5bcc60b95c2b810001dc68e2,4.75,4,4.6,3,3.333333333
5d55d562e04e1c0001f5e682,7,1,7,7,6.666666667
5dcb685070d51c8275d7bd54,5,2,5.4,5,5.333333333
5dee8ee31255595293a9906b,5.25,1.4,6.2,6,3.333333333
5ec75df0d799ae1c11a8115c,6,1,6.8,5,6
5eefc651cb94ad4c4d017b86,7,1.4,6.6,6,6.333333333
5f16f559325a640008bb9a07,4.25,1.4,4,3.666666667,4.333333333
5f32bc368853aa03df112fc6,5,1,7,1,5.333333333
5f9873550513db147c9d2958,5,1,6.2,5.333333333,3.333333333
5fd18d125e1f92195b1717bc,5.75,3.4,5.8,5.666666667,6
5ff27bb4ad8fba794c1b96fa,6.75,1,7,6.666666667,6.333333333
6056bcf1cee7a41435889255,5.25,2,7,4,3.666666667
605b5b5feff0e95f2cd60834,5.5,1.6,6.2,2.666666667,5
608209b96e955ba5201eff25,5.5,2.8,6,3.666666667,5.333333333
60bff9298f56d55c8ecd9adf,2.25,1,7,6,2.333333333
60d2b326161a622cd363268a,7,3,5.8,5.333333333,5
60dbf4d94a3b5564b68881e8,6,3,5.6,2,5.666666667
60ef2700e476748689a999f7,3.5,1,7,7,4.666666667
60f4e3ab507bbb123f866e88,6,2,6,3.666666667,6
60fcebba7345a976efc9c080,5,2.2,6.2,4,4
60fd56db5fe37ebeca00bc83,5.75,1.4,6.6,4,3
60fd5a99c4e4ead0c9a6fff4,4.5,1.6,5.8,4,4.333333333
60fd80b85dd6b22f66d16822,3.25,1.2,5.8,4.333333333,2.333333333
60fd89617258b322c92fdd03,6.25,2.2,6.8,4.666666667,6
60fdb9ec6c3006abe82e5182,4,4,5,4,5
60ff33eea57872b7188f12e2,7,1,7,1.666666667,5.666666667
610024bfd6e1038ba3b1601d,6,1,6.8,6.333333333,6
61006614d4c56450afce3a6b,4.25,1,7,5,4.666666667
61006f43a84b82fb439d7cba,5.5,1.4,6.6,4,5.666666667
610367ad785ce86ceb8d201c,6.5,1.4,7,3,6.333333333
61084dbab48ab21fce452554,6,1.2,7,3,3.666666667
6112dccad39227e361c13866,6,2,6.2,5.666666667,6
612e6569f68929afb886fb5c,3.25,4,6.8,7,3.333333333
61338374ecef87bfdfd1c7bb,3.75,2,6.4,6,5
6154a88b71a7f4347658b0f7,5.5,3.8,5.6,4,4
615a084387075364a7462335,5.5,1,6.6,5.666666667,2.333333333
628f827eeb876ed2617881e7,5.75,2,7,5,6.333333333
62a1ed3d1357f3e033ae44f9,5.5,2.2,5.6,6.666666667,5.333333333
62a885d5b6af18b3d4579e1b,5.25,2.4,6.2,5.333333333,4.666666667
62fb84322433c8d7e890a145,5,1.8,5.8,6.666666667,4
630386f64c5bbd56ab1c3b0f,4.5,2,5.6,2.666666667,2.666666667
631f3abc8826b6e7e8982648,7,1.6,6.8,4,6
63235c5bf70d8e4f79b205cd,6,1,6.6,7,5.666666667
63ced670c8d001d1d5057140,4.75,2.6,6.2,5.666666667,5.333333333
63d13e2a6dd3ec4a5f6bff7b,6.75,2.6,6.8,3,4.333333333
63d3f98237a95683bfa381e3,6.25,2.6,6.2,3,3.666666667
63d3f9d0ab6c170778b0d3d1,4.25,2.2,5.8,5.333333333,4.666666667
63d40481d12fc9cc4c1adab0,6.25,4.2,6,6.666666667,5.666666667
63d5bb0d1cc3800ad1e343dc,5,1.2,6.4,1,3
63d5e3bf4a739d1158b9ce64,5.25,1,6.8,4.333333333,4.666666667
63d7c5cbacd85e95302f3a62,1.75,1,6.4,5.666666667,5
63d7f2b15b4a5938642f3a7b,2.5,1,6.4,6,4
63ddc6baab6a2130b8a41bf7,7,1,7,5.666666667,5.666666667
63e51e528df11f83a1aacab8,2.25,1.8,6.8,5,2.333333333
63e52399159a69bf0ea848c6,5.5,2,5.8,6,4.333333333
63ea4ab1ce4168cbe9f63775,4,1.8,5.8,5.333333333,3.666666667
63eac31811a6da58d4f32d76,6.25,3.6,6.4,7,5.666666667
63fac97f0d4e8f6bfd753d90,6,1.6,6.8,5,5.333333333
64023a98627b1116180dff0b,5,1,6.4,5.666666667,5.333333333
641361334c91a0c6ff4c5b79,7,5.4,6.8,7,7
641a3df3c874807a1a8734bc,6.25,2.8,6,4,5.666666667